('npm:lodash._htmlescapes', '2.3.0')
('npm:babel-plugin-transform-es2015-arrow-functions', '6.22.0')
('npm:babel-plugin-undeclared-variables-check', '1.0.2')
('composer:doctrine/instantiator', '1.0.5')
('npm:ee-first', '1.1.1')
('npm:console-control-strings', '1.1.0')
('npm:create-hmac', '1.1.6')
('composer:icanboogie/inflector', '1.4.1')
('npm:babel-plugin-dead-code-elimination', '1.0.2')
('npm:@types/tough-cookie', '2.3.3')
('npm:isexe', '2.0.0')
('npm:ansi-wrap', '0.1.0')
('npm:ember-cli-preprocess-registry', '3.1.1')
('npm:@glimmer/di', '0.2.0')
('npm:js-reporters', '1.2.1')
('npm:getpass', '0.1.7')
('npm:lodash._bindcallback', '3.0.1')
('npm:md5-hex', '2.0.0')
('npm:type-check', '0.3.2')
('npm:ember-cli-uglify', '2.0.0')
('npm:camelcase', '4.1.0')
('npm:mime-db', '1.33.0')
('npm:destroy', '1.0.4')
('npm:lodash.isarguments', '3.1.0')
('npm:type-is', '1.6.15')
('npm:charenc', '0.0.2')
('npm:is-object', '1.0.1')
('npm:lodash.isnumber', '3.0.3')
('npm:inherits', '2.0.1')
('npm:form-data', '2.3.1')
('npm:ember-cli-json-module', '0.0.3')
('npm:lodash._escapehtmlchar', '2.3.0')
('npm:raw-body', '1.1.7')
('npm:bcrypt-pbkdf', '1.0.2')
('npm:esprima', '4.0.1')
('npm:spawn-sync', '1.0.15')
('npm:onetime', '2.0.1')
('npm:babel-helper-explode-assignable-expression', '6.24.1')
('npm:wordwrap', '1.0.0')
('npm:is-buffer', '1.1.6')
('npm:buffer-equal-constant-time', '1.0.1')
('npm:expand-range', '1.8.2')
